4251	175,403,152,393,383,1540,592,1750,207,1421
9092	175,403,152,393,383,1540,592,1750,207,1421
6483	175,403,152,393,383,1540,592,207,1421,201
4517	175,152,393,383,1540,592,1750,207,1421,201
4353	175,403,152,393,383,1540,592,207,1421,201
7505	403,152,383,1540,1750,1421,201,424,157,254
1504	175,403,152,393,383,1540,592,1750,207,1421
3152	175,403,152,393,383,1540,592,1750,207,1421
1606	175,403,152,393,383,1540,592,1750,207,1421
6897	403,393,383,1540,592,1750,207,1421,157,424
1771	175,152,393,383,592,1750,207,1421,201,424
4815	175,403,152,393,383,1540,592,1750,207,1421
4173	403,152,393,383,1540,592,1750,207,201,424
7909	175,403,152,393,383,1540,592,1750,207,1421
3592	175,403,152,393,383,1540,592,1750,207,1421
6689	175,403,152,393,383,592,1750,207,1421,201
8063	175,403,152,393,383,1540,592,1750,207,1421
1954	175,403,152,393,383,1540,592,1750,207,1421
8530	175,403,152,393,383,1540,592,1750,1421,201
9346	175,393,383,1540,592,1750,1421,201,424,254
2202	175,403,152,393,383,1540,592,1750,207,1421
8896	175,403,152,393,383,1540,592,1750,207,1421
8598	175,403,152,383,1540,592,1750,1421,201,424
1247	403,152,393,383,1540,592,201,157,424,254
1572	175,403,383,1540,592,1750,207,201,424,157
8070	152,393,1540,1750,207,1421,201,157,254,542
7687	175,403,152,393,383,1540,592,1750,207,1421
1849	175,403,152,393,383,1540,592,207,1421,201
7330	175,403,393,383,1540,1750,1421,424,254,266
1367	175,403,152,393,383,1540,1750,207,1421,201
2340	383,1750,207,1421,201,424,254,266,2,4
5343	175,403,152,393,383,1540,592,1750,207,1421
6779	175,403,152,393,383,1540,592,1750,207,1421
5069	175,403,152,393,383,1540,592,1750,207,1421
5256	403,152,393,383,592,1750,207,1421,201,157
2810	152,393,383,1540,592,1750,207,1421,201,157
8733	175,403,152,393,383,1540,592,1750,207,1421
7546	175,403,592,1750,207,1421,157,254,266,542
6189	175,152,393,383,1540,592,1750,1421,201,157
7438	175,393,383,1540,592,1750,157,254,542,4
900	403,152,393,383,1540,1750,207,1421,201,157
8155	175,403,152,393,383,1540,592,1750,207,1421
5282	175,403,152,393,383,1540,592,1750,207,1421
3762	175,403,152,393,383,1540,592,1750,207,157
4289	175,403,152,393,383,1540,592,1750,207,1421
4618	175,152,393,383,1540,592,207,1421,201,254
6097	175,403,393,1540,592,1750,207,1421,201,157
657	175,403,152,393,383,1540,592,1750,207,1421
7312	175,403,152,393,383,1540,592,1750,207,201
2211	175,403,152,393,383,1540,592,1750,207,1421
6274	175,403,152,383,1540,592,1750,207,1421,201
8691	403,592,1750,207,201,157,424,254,266,1754
6594	175,403,152,393,383,1540,592,1750,207,1421
3554	403,152,383,1540,207,157,424,254,266,542
4318	175,152,393,383,1750,207,1421,201,157,254
4493	175,403,152,393,383,1540,592,1750,207,1421
8899	175,403,152,393,383,1540,592,1750,207,1421
4947	403,383,1750,207,1421,266,542,1754,148,1708
7072	175,403,152,393,383,1540,592,1750,207,1421
7183	175,403,152,393,383,1540,592,1750,207,1421
3882	175,403,152,393,383,592,207,201,424,157
3577	175,403,152,393,383,1540,592,1750,207,1421
7421	175,403,152,383,592,1421,201,424,157,254
744	175,403,152,393,383,1540,592,1750,207,1421
6172	152,393,1540,1750,207,1421,201,157,254,542
6617	152,393,383,1540,592,1750,207,1421,201,157
7970	175,403,152,393,383,1540,592,1750,207,1421
836	403,152,383,1540,1750,207,1421,201,157,254
2684	175,403,152,393,383,1540,592,1750,207,1421
956	175,403,152,393,383,1540,592,1750,207,1421
9359	175,403,152,393,383,1540,592,1750,207,1421
7305	152,393,1540,1750,207,1421,201,157,254,542
427	175,403,152,393,383,1540,592,207,1421,201
8231	175,403,152,393,383,1540,592,1750,207,1421
6749	393,383,1540,592,1750,1421,201,424,157,1754
4235	403,152,393,383,1540,592,1750,207,1421,201
8257	175,403,152,393,1540,592,1750,207,1421,201
1895	152,1540,592,1750,1421,201,424,254,266,1754
3522	393,383,1540,592,1750,207,1421,157,424,254
620	175,403,393,383,1540,592,207,1421,157,424
919	403,152,393,1540,592,207,157,254,266,1754
4820	152,393,383,592,1750,207,1421,201,157,424
9368	175,403,152,393,383,592,1750,207,1421,201
4227	152,393,383,1540,592,1750,207,1421,157,424
3030	175,403,152,393,383,1540,592,1750,207,1421
7789	175,403,152,393,383,1540,592,1750,207,201
6084	175,403,393,1540,1750,1421,201,157,424,254
6538	175,403,393,383,1540,592,1750,207,1421,201
4554	175,403,152,383,1540,592,1750,207,1421,201
7514	152,383,1540,592,1421,424,157,266,1754,2
3982	403,393,383,1540,592,1750,207,1421,201,424
3426	403,152,393,383,592,1750,207,1421,201,157
7198	403,152,393,383,1540,1750,1421,201,157,424
1272	175,403,152,393,383,1540,592,1750,207,1421
6637	403,152,393,383,1540,592,1750,207,1421,201
3195	175,403,152,393,383,1540,592,1750,207,1421
870	175,403,152,393,383,1540,592,1750,207,1421
5462	175,152,393,1540,207,1421,201,157,254,266
4347	175,403,152,393,383,1540,592,1750,207,1421
8060	175,592,1421,201,254,1754,148,401,1708,255
